Topic,Term 0,Term 1,Term 2,Term 3,Term 4
Topic 0,человек,covid,новый,издание,слово
Topic 1,президент,бердымухамедов,гурбангулы,глава,работа
Topic 2,covid,страна,вакцина,гражданин,россия
Topic 3,страна,развитие,новый,государство,национальный
Topic 4,здравоохранение,covid,медицинский,страна,заболевание
Topic 5,рейс,ашхабад,авиакомпания,март,covid
Topic 6,чемпионат,игра,мир,олимпийский,пройти
Topic 7,международный,оон,организация,мир,государство
Topic 8,президент,гурбангулы,государство,глава,бердымухамедов
Topic 9,развитие,международный,сотрудничество,экономический,организация
Topic 10,транспортный,страна,регион,экономический,проект
Topic 11,ребёнок,туркменский,центр,школа,город
Topic 12,сторона,встреча,министр,covid,мид
Topic 13,процент,производство,период,объём,продукция
Topic 14,пандемия,страна,covid,экономика,глобальный
