Document Title,Topic 0 Weight,Topic 1 Weight,Topic 2 Weight,Topic 3 Weight,Topic 4 Weight,Topic 5 Weight,Topic 6 Weight,Topic 7 Weight,Topic 8 Weight,Topic 9 Weight,Topic 10 Weight,Topic 11 Weight,Topic 12 Weight,Topic 13 Weight,Topic 14 Weight
Voyant分析用最終版_0001,1.329787,21.808511,1.728723,3.856383,57.712764,1.329787,1.462766,1.329787,1.329787,1.329787,1.462766,1.329787,1.329787,1.329787,1.329787
Voyant分析用最終版_0002,3.067485,5.828221,3.067485,3.067485,37.730062,3.067485,3.067485,3.067485,3.98773,13.190185,3.067485,3.067485,8.588957,3.067485,3.067485
Voyant分析用最終版_0003,11.534604,36.50953,1.003009,17.75326,5.315948,1.003009,1.003009,4.613842,1.003009,10.431294,2.708124,3.30993,1.003009,1.705115,1.10331
Voyant分析用最終版_0004,2.325581,2.325581,2.325581,2.558139,2.325581,2.325581,2.325581,9.767442,59.76744,2.325581,2.325581,2.325581,2.325581,2.325581,2.325581
Voyant分析用最終版_0005,2.317881,1.655629,1.655629,6.622516,1.655629,1.821192,1.655629,8.774834,58.278143,1.821192,6.456953,1.655629,2.317881,1.655629,1.655629
Voyant分析用最終版_0006,4.484305,8.520179,15.695067,5.829597,12.107623,11.210762,5.381166,4.484305,4.484305,4.484305,4.484305,4.484305,4.484305,4.484305,5.381166
Voyant分析用最終版_0007,2.173913,2.391304,2.173913,8.260869,5.652174,2.173913,2.173913,2.173913,39.347827,2.173913,4.347826,2.173913,13.695653,8.695652,2.391304
Voyant分析用最終版_0008,2.066116,30.3719,2.066116,2.066116,2.892562,2.066116,2.066116,3.719008,2.066116,3.512397,2.066116,2.066116,2.066116,21.07438,19.83471
Voyant分析用最終版_0009,0.869565,35.913044,0.869565,0.869565,0.869565,0.869565,0.869565,0.869565,0.869565,0.869565,0.869565,0.869565,0.956522,47.304347,6.26087
Voyant分析用最終版_0010,0.869565,0.956522,0.869565,22.608696,8.782609,0.869565,19.391304,8.173913,16.086957,2.521739,0.869565,15.391305,0.869565,0.869565,0.869565
Voyant分析用最終版_0011,1.218162,28.57143,1.10742,15.282393,21.483943,1.10742,1.550388,1.10742,3.543743,7.751938,1.10742,12.846069,1.10742,1.10742,1.10742
Voyant分析用最終版_0012,4.255319,6.80851,4.255319,4.255319,5.957447,4.255319,4.255319,4.255319,9.361702,13.617021,11.489362,4.255319,11.914894,4.255319,6.80851
Voyant分析用最終版_0013,1.430615,1.430615,1.430615,2.432046,31.18741,1.430615,1.716738,28.755364,7.868383,5.150215,11.158799,1.430615,1.716738,1.430615,1.430615
Voyant分析用最終版_0014,2.881844,8.933718,2.881844,5.18732,44.668588,2.881844,2.881844,7.492796,2.881844,2.881844,2.881844,2.881844,4.034582,2.881844,3.746398
Voyant分析用最終版_0015,4.032258,4.032258,4.032258,4.032258,4.032258,4.032258,4.032258,18.548387,23.790322,5.241935,8.064516,4.032258,4.032258,4.032258,4.032258
Voyant分析用最終版_0016,3.636363,3.636363,3.636363,3.636363,3.636363,3.636363,3.636363,14.181818,13.818182,4.727273,24.363637,3.636363,3.636363,3.636363,6.545454
Voyant分析用最終版_0017,4.237288,4.237288,4.237288,4.661017,16.101696,4.237288,4.237288,13.983051,9.745763,11.864407,4.237288,4.237288,5.508475,4.237288,4.237288
Voyant分析用最終版_0018,7.478261,0.869565,3.391304,10.956522,0.869565,0.869565,0.869565,18.52174,22.608696,16.782609,5.826087,5.478261,0.869565,0.869565,3.73913
Voyant分析用最終版_0019,3.030303,3.030303,8.484849,10.30303,10.909091,3.030303,13.939394,3.030303,6.060606,9.090909,3.030303,16.969697,3.030303,3.030303,3.030303
Voyant分析用最終版_0020,2.590674,2.590674,6.476684,2.590674,2.590674,2.590674,2.590674,2.590674,19.430052,25.129533,2.590674,14.248705,8.80829,2.590674,2.590674
Voyant分析用最終版_0021,1.041667,1.041667,1.041667,1.041667,4.791667,1.041667,1.041667,37.604168,29.6875,15.729167,1.770833,1.041667,1.041667,1.041667,1.041667
Voyant分析用最終版_0022,3.508772,3.508772,7.368421,3.508772,7.719299,3.508772,8.77193,3.508772,13.68421,15.438597,3.508772,13.68421,5.263158,3.508772,3.508772
Voyant分析用最終版_0023,4.56621,4.56621,4.56621,4.56621,4.56621,4.56621,4.56621,4.56621,4.56621,15.981735,4.56621,4.56621,13.69863,4.56621,15.525115
Voyant分析用最終版_0024,3.472222,3.472222,3.472222,3.472222,26.38889,3.472222,3.472222,7.291666,15.625,10.069445,3.472222,3.472222,5.902778,3.472222,3.472222
Voyant分析用最終版_0025,3.690037,3.690037,3.690037,3.690037,3.690037,3.690037,3.690037,14.02214,3.690037,20.664206,3.690037,3.690037,3.690037,6.642067,18.081181
Voyant分析用最終版_0026,2.298851,2.298851,2.298851,2.298851,2.298851,2.298851,2.298851,5.287356,64.827585,2.298851,2.298851,2.298851,2.298851,2.298851,2.298851
Voyant分析用最終版_0027,3.802281,3.802281,3.802281,3.802281,11.026616,3.802281,3.802281,3.802281,11.406844,3.802281,3.802281,3.802281,31.939164,3.802281,3.802281
Voyant分析用最終版_0028,3.38983,3.38983,3.38983,3.38983,7.457627,3.38983,3.38983,26.440677,11.525424,14.915255,5.762712,3.38983,3.38983,3.38983,3.38983
Voyant分析用最終版_0029,4.291845,4.291845,4.291845,4.291845,14.592275,4.291845,4.291845,20.600858,12.875536,4.291845,4.291845,4.291845,4.291845,4.291845,4.72103
Voyant分析用最終版_0030,4.032258,4.032258,4.032258,4.032258,11.693548,4.032258,4.032258,20.564516,10.483871,9.274194,7.66129,4.032258,4.032258,4.032258,4.032258
Voyant分析用最終版_0031,1.146789,1.146789,1.146789,1.146789,7.454129,1.146789,1.146789,41.972476,21.100917,9.977064,7.224771,1.146789,1.146789,1.146789,1.949541
