Collocate,Rank,Freq(Scaled),FreqLR,FreqL,FreqR,Range,Likelihood,Effect
пандемия,1,8490,508,484,24,1,2563.556,4.965
инфекция,2,4250,272,31,241,1,1403.975,5.062
борьба,3,6350,171,160,11,1,592.531,3.813
распространение,5,3420,120,117,3,1,475.931,4.195
противодействие,6,3080,115,111,4,1,469.865,4.285
вызвать,8,1360,61,57,4,1,270.776,4.549
заболевание,9,5570,94,55,39,1,244.277,3.139
последствие,10,2190,62,41,21,1,220.19,3.886
covid,12,11610,118,59,59,1,203.922,2.408
геном,13,460,33,33,0,1,177.278,5.227
реагирование,14,1320,42,40,2,1,158.435,4.054
вакцинация,15,950,36,28,8,1,147.899,4.306
изучение,16,1930,39,38,1,1,113.929,3.399
тип,17,960,28,10,18,1,100.951,3.929
ситуация,18,4250,50,47,3,1,98.364,2.619
период,19,7810,65,61,4,1,91.434,2.119
влияние,20,1430,30,23,7,1,89.682,3.453
мир,21,17720,102,82,20,1,89.017,1.587
смягчение,22,450,18,13,5,1,75.814,4.384
тема,23,3820,41,35,6,1,74.348,2.486
негативный,25,1400,26,17,9,1,71.93,3.277
преодоление,26,1220,24,20,4,1,68.907,3.36
связать,27,3640,38,34,4,1,67.164,2.446
затронуть,28,630,18,18,0,1,64.18,3.899
воз,29,3470,36,17,19,1,63.256,2.437
восстановление,30,2240,29,20,9,1,61.74,2.757
угроза,31,2080,28,20,8,1,61.492,2.813
предотвращение,32,1310,23,22,1,1,61.292,3.196
охватить,33,280,13,6,7,1,58.538,4.599
воздействие,34,1140,21,19,2,1,57.78,3.266
кризис,35,720,17,14,3,1,54.522,3.624
мера,36,10240,60,46,14,1,53.702,1.613
серьёзный,37,1290,21,1,20,1,53.117,3.087
территория,38,2560,28,16,12,1,51.629,2.514
проникновение,39,460,14,14,0,1,51.594,3.99
новый,40,19650,89,56,33,1,50.831,1.242
вакцина,41,1230,20,20,0,1,50.545,3.086
глобальный,42,9010,54,37,17,1,49.98,1.646
тест,43,330,12,12,0,1,48.32,4.247
год,44,40610,26,6,20,1,46.884,-1.581
государство,45,39700,25,7,18,1,46.755,-1.605
президент,46,40410,26,1,25,1,46.37,-1.574
распространиться,47,100,8,6,2,1,44.729,5.384
профилактика,48,3290,29,25,4,1,43.341,2.202
риск,49,920,16,11,5,1,42.357,3.183
заражение,50,150,8,7,1,1,38.21,4.799
вызывать,51,520,12,6,6,1,37.971,3.591
посвятить,52,1840,20,16,4,1,36.662,2.505
недопустимый,54,30,5,3,2,1,35.643,6.443
сфера,55,14910,4,3,1,1,33.485,-2.836
механизм,56,2920,24,2,22,1,33.246,2.101
вследствие,57,140,7,7,0,1,32.539,4.706
международный,58,37950,30,14,16,1,32.485,-1.277
республика,59,10550,1,0,1,1,32.47,-4.337
контактный,60,220,8,7,1,1,32.211,4.247
завоз,61,320,9,9,0,1,31.815,3.876
обусловить,62,710,12,11,1,1,31.149,3.141
бердымухамедов,64,18210,8,1,7,1,30.302,-2.124
политизировать,65,20,4,2,2,1,30.109,6.706
процент,66,9850,1,1,0,1,29.919,-4.238
сложный,67,1450,16,8,8,1,29.726,2.526
диагностика,68,760,12,11,1,1,29.694,3.043
транспортный,69,11260,2,1,1,1,29.69,-3.431
противостояние,70,260,8,5,3,1,29.645,4.006
народ,71,13460,4,1,3,1,28.732,-2.688
штамм,72,120,6,4,2,1,27.89,4.706
вспышка,73,200,7,7,0,1,27.668,4.192
солидарность,74,840,12,11,1,1,27.58,2.899
контекст,75,5900,33,18,15,1,27.45,1.546
развитие,76,33250,27,11,16,1,27.192,-1.238
государственный,77,16020,7,3,4,1,26.763,-2.132
вакцинировать,78,140,6,6,0,1,26.073,4.484
проблема,79,2810,21,16,5,1,26.052,1.964
гурбангулы,80,23050,15,2,13,1,26.024,-1.557
минимизация,81,590,10,4,6,1,26.007,3.145
случай,82,3330,23,20,3,1,25.863,1.85
соvid,83,80,5,0,5,1,25.461,5.028
июль,84,1120,13,0,13,1,25.25,2.599
возникновение,85,480,9,6,3,1,25.044,3.291
острый,86,1540,15,14,1,1,24.797,2.346
многосторонний,87,3750,24,0,24,1,24.371,1.74
отложить,88,90,5,3,2,1,24.286,4.858
условие,89,8610,40,38,2,1,23.978,1.278
стать,90,8290,39,9,30,1,23.958,1.296
столкнуться,91,380,8,3,5,1,23.954,3.458
высокий,92,13930,6,1,5,1,23.524,-2.153
политика,93,8070,1,0,1,1,23.482,-3.95
неприсоединение,94,850,11,11,0,1,23.398,2.756
усилие,95,7450,36,27,9,1,23.271,1.335
происхождение,97,290,7,7,0,1,22.733,3.656
tap,98,50,4,0,4,1,22.363,5.384
прохождение,99,110,5,4,1,1,22.303,4.569
политизация,99,110,5,5,0,1,22.303,4.569
