Collocate,Rank,Freq(Scaled),FreqLR,FreqL,FreqR,Range,Likelihood,Effect
пользоваться,1,1400,55,55,0,1,364.237,6.16
летие,3,2140,35,0,35,1,170.78,4.896
поздравление,4,710,25,23,2,1,159.843,6.002
день,5,8950,44,3,41,1,115.318,3.162
праздник,6,2090,26,0,26,1,113.014,4.501
торжество,7,1480,21,20,1,1,96.586,4.691
независимость,8,4270,29,2,27,1,92.922,3.628
годовщина,9,1160,19,1,18,1,92.678,4.898
байрамы,10,270,13,0,13,1,91.273,6.454
курбан,11,180,11,0,11,1,82.564,6.797
знаменательный,12,1410,16,2,14,1,66.679,4.368
мероприятие,13,7390,29,28,1,1,64.427,2.837
обменяться,14,1160,13,13,0,1,53.856,4.35
поздравить,16,2200,15,0,15,1,48.118,3.634
новруз,17,260,7,0,7,1,40.97,5.615
выразить,18,7830,23,1,22,1,39.872,2.419
заражение,19,150,6,0,6,1,39.866,6.186
священный,20,1070,10,2,8,1,37.963,4.088
кой,21,80,5,5,0,1,37.75,6.83
пожелание,22,1440,11,8,3,1,37.595,3.797
отсутствие,23,210,6,4,2,1,35.824,5.701
запланировать,24,1490,10,9,1,1,31.775,3.611
й,25,4180,15,0,15,1,30.981,2.708
летнего,27,200,5,0,5,1,28.526,5.508
отмечаемого,28,80,4,0,4,1,28.38,6.508
заболевание,29,5570,16,5,11,1,27.134,2.386
инфекция,30,4250,14,0,14,1,26.894,2.584
студенческий,31,480,6,0,6,1,26.102,4.508
ввод,32,780,7,2,5,1,26.032,4.03
covid,33,11610,23,3,20,1,25.863,1.85
торжественный,35,1230,8,8,0,1,24.954,3.565
вручение,36,290,5,2,3,1,24.87,4.972
установление,37,870,7,0,7,1,24.596,3.872
знание,38,900,7,0,7,1,24.152,3.823
эксплуатация,39,1780,9,3,6,1,23.964,3.202
реагирование,40,1320,8,8,0,1,23.919,3.464
открытие,41,1800,9,3,6,1,23.784,3.186
юбилей,42,930,7,1,6,1,23.724,3.776
оперативный,43,630,6,5,1,1,22.986,4.116
дата,44,1480,8,0,8,1,22.259,3.299
славный,45,1130,7,0,7,1,21.207,3.495
ораз,46,70,3,0,3,1,20.348,6.286
празднование,47,800,6,1,5,1,20.293,3.771
хотеть,48,1240,7,2,5,1,20.023,3.361
работник,49,1760,8,2,6,1,19.786,3.049
поздравительный,50,80,3,3,0,1,19.541,6.093
необходимость,51,6060,14,0,14,1,18.928,2.072
сердечный,53,300,4,2,2,1,17.897,4.601
адресовать,54,2040,8,1,7,1,17.726,2.836
выявить,55,310,4,3,1,1,17.644,4.554
зафиксировать,56,110,3,3,0,1,17.632,5.634
неприемлемый,57,20,2,0,2,1,17.045,7.508
