Collocate,Rank,Freq(Scaled),FreqLR,FreqL,FreqR,Range,Likelihood,Effect
пандемия,1,10380,583,545,38,1,1819.924,3.515
инфекция,2,4600,319,45,274,1,1120.523,3.82
распространение,3,4150,187,183,4,1,503.959,3.198
борьба,5,5340,180,177,3,1,391.586,2.779
вакцина,8,4950,133,119,14,1,237.684,2.452
тест,9,2480,93,80,13,1,219.465,2.933
вакцинация,12,2740,90,77,13,1,191.433,2.741
случай,13,3970,100,83,17,1,167.946,2.359
реагирование,14,1230,59,57,2,1,165.465,3.288
вызвать,15,1060,53,51,2,1,152.694,3.348
противодействие,16,2130,62,59,3,1,118.971,2.567
отрицательный,17,620,37,30,7,1,118.858,3.603
заражение,18,1060,45,43,2,1,116.126,3.112
вспышка,20,660,36,35,1,1,109.535,3.473
справка,21,910,39,31,8,1,101.303,3.125
связать,22,2190,57,51,6,1,98.712,2.406
новый,23,10520,135,106,29,1,93.672,1.386
государство,24,18780,17,4,13,1,93.58,-2.44
ситуация,26,4170,74,69,5,1,83.917,1.853
последствие,27,1340,40,27,13,1,78.434,2.603
отсутствие,28,500,26,23,3,1,76.773,3.404
штамм,29,670,29,24,5,1,75.838,3.14
ограничение,30,2060,48,29,19,1,74.476,2.246
март,31,3220,60,50,10,1,72.347,1.924
международный,32,19200,27,8,19,1,67.544,-1.804
пцр,33,1290,36,24,12,1,66.492,2.506
прекращение,34,290,19,18,1,1,64.404,3.738
сообщать,35,8990,107,5,102,1,64.372,1.277
предотвращение,36,1300,35,32,3,1,62.546,2.455
мир,37,10620,118,86,32,1,61.615,1.178
геном,38,230,17,17,0,1,61.583,3.912
процент,39,7080,1,0,1,1,60.673,-5.12
зарегистрировать,40,860,28,22,6,1,59.063,2.729
зафиксировать,41,800,27,14,13,1,58.639,2.781
заболевание,42,5060,68,47,21,1,51.061,1.452
развитие,43,14300,20,10,10,1,50.537,-1.812
тестирование,44,930,26,24,2,1,48.091,2.509
оон,46,7350,4,3,1,1,46.796,-3.174
государственный,47,10410,11,0,11,1,46.698,-2.217
связь,49,9450,99,75,24,1,45.253,1.093
сфера,50,6600,3,2,1,1,44.73,-3.434
прививка,51,540,19,16,3,1,42.643,2.841
заседание,52,5180,1,0,1,1,42.559,-4.669
вирус,53,1970,36,26,10,1,42.342,1.896
эпидемия,54,370,16,11,5,1,41.806,3.138
затронуть,55,500,18,18,0,1,41.124,2.874
путешествую,56,110,10,10,0,1,40.292,4.21
президент,57,18420,38,2,36,1,39.312,-1.251
председатель,58,5990,3,0,3,1,39.297,-3.294
туркменистан,59,46310,143,32,111,1,36.708,-0.67
глава,61,13920,25,2,23,1,36.671,-1.451
отношение,62,4490,1,0,1,1,36.042,-4.463
