Collocate,Rank,Freq(Scaled),FreqLR,FreqL,FreqR,Range,Likelihood,Effect
заражение,1,1060,73,9,64,1,479.078,6.093
зафиксировать,2,800,54,32,22,1,351.92,6.064
covid,4,19330,100,17,83,1,167.946,2.359
заболевание,5,5060,50,5,45,1,139.313,3.292
летальный,6,210,19,2,17,1,135.11,6.487
исход,7,240,19,2,17,1,129.868,6.294
зарегистрировать,9,860,23,20,3,1,107.203,4.729
пользоваться,10,480,18,18,0,1,95.856,5.216
торжество,11,920,19,18,1,1,79.022,4.356
выявить,12,570,16,12,4,1,76.063,4.798
летие,13,1180,20,0,20,1,75.632,4.071
день,14,6140,37,17,20,1,71.048,2.579
подозрение,16,150,9,0,9,1,56.397,5.894
один,17,4790,29,26,3,1,55.872,2.585
праздник,18,1160,16,0,16,1,54.281,3.773
годовщина,19,510,12,0,12,1,52.912,4.544
поздравление,20,260,9,9,0,1,46.481,5.101
covidв,21,910,13,0,13,1,44.948,3.824
тыс,22,320,9,7,2,1,42.805,4.801
заболеть,23,250,8,1,7,1,40.075,4.987
мероприятие,24,4980,24,22,2,1,37.278,2.256
covidне,25,60,5,0,5,1,34.687,6.368
священный,26,410,8,1,7,1,32.38,4.274
млн,27,1020,11,9,2,1,32.307,3.418
подтвердить,29,1230,11,11,0,1,28.591,3.148
инфицирование,30,120,5,0,5,1,27.659,5.368
отмечаемого,31,50,4,0,4,1,27.412,6.309
сообщение,32,1990,13,12,1,1,26.677,2.695
случай,33,3970,18,9,9,1,26.212,2.168
кой,34,60,4,4,0,1,25.918,6.046
независимость,35,1450,11,2,9,1,25.399,2.911
байрамы,36,160,5,0,5,1,24.81,4.953
единичный,37,20,3,2,1,1,24.522,7.216
более,38,3000,15,11,4,1,24.158,2.309
обменяться,39,800,8,8,0,1,22.394,3.309
инфекция,40,4600,18,2,16,1,22.166,1.956
тяжёлый,42,580,7,5,2,1,21.999,3.581
смертельный,43,30,3,1,2,1,21.946,6.631
количество,44,1110,9,7,2,1,21.826,3.007
чуть,45,100,4,3,1,1,21.801,5.309
эксплуатация,46,840,8,2,6,1,21.69,3.239
ввод,47,420,6,1,5,1,20.736,3.824
курбан,49,130,4,0,4,1,19.725,4.931
й,50,2810,13,1,12,1,19.331,2.197
бы,51,1320,9,3,6,1,19.118,2.757
если,52,1060,8,1,7,1,18.395,2.903
открытие,53,1070,8,3,5,1,18.265,2.89
новый,54,10520,27,15,12,1,17.745,1.347
знаменательный,55,550,6,0,6,1,17.742,3.435
инфекцией,56,10,2,1,1,1,17.605,7.631
могу,56,10,2,1,1,1,17.605,7.631
коронация,58,360,5,0,5,1,17.015,3.783
развитие,59,14300,2,2,0,1,16.997,-2.851
культурно,60,190,4,4,0,1,16.77,4.383
