Collocate,Rank,Freq(Scaled),FreqLR,FreqL,FreqR,Range,Likelihood,Effect
болезнь,2,620,32,1,31,1,172.556,5.247
чрезвычайный,3,690,31,31,0,1,158.573,5.047
комиссия,4,790,31,31,0,1,150.268,4.852
распространение,5,2010,40,1,39,1,141.604,3.872
covid,6,12550,81,10,71,1,126.983,2.248
методический,8,80,7,0,7,1,45.164,6.009
многосторонний,9,180,8,8,0,1,40.661,5.032
механизм,10,270,9,9,0,1,40.65,4.616
отмывание,11,110,7,1,6,1,40.611,5.549
пандемия,12,3960,25,2,23,1,37.857,2.216
мера,13,2930,21,20,1,1,36.052,2.399
заболевание,14,1650,16,1,15,1,35.582,2.835
неинфекционный,15,90,6,1,5,1,35.372,5.616
усилие,16,480,9,8,1,1,30.728,3.786
терроризм,17,270,7,0,7,1,28.201,4.254
пневмонией,18,40,4,0,4,1,26.908,6.201
последствие,19,380,7,0,7,1,23.661,3.761
финансирование,20,450,7,1,6,1,21.464,3.517
пневмония,21,300,6,0,6,1,21.205,3.88
инфекционный,22,1100,10,0,10,1,21.105,2.742
деньга,23,560,7,1,6,1,18.679,3.201
радикализацией,25,10,2,1,1,1,16.42,7.201
адресация,25,10,2,1,1,1,16.42,7.201
год,27,10230,2,0,2,1,16.134,-2.797
