Collocate,Rank,Freq(Scaled),FreqLR,FreqL,FreqR,Range,Likelihood,Effect
covid,2,11610,171,11,160,1,592.531,3.813
пандемия,3,8490,137,1,136,1,497.615,3.945
распространение,4,3420,89,1,88,1,404.297,4.635
болезнь,5,1640,58,1,57,1,298.124,5.077
инфекция,6,4250,71,2,69,1,261.887,3.995
заболевание,7,5570,76,10,66,1,251.495,3.703
чрезвычайный,8,1860,53,51,2,1,249.864,4.766
усилие,9,7450,75,75,0,1,206.347,3.264
угроза,10,2080,46,1,45,1,194.17,4.4
комиссия,11,3550,54,54,0,1,189.51,3.86
пневмония,12,370,28,0,28,1,186.688,6.175
опасный,13,1780,38,4,34,1,157.774,4.349
инфекционный,15,3610,42,1,41,1,126.426,3.473
методический,16,650,22,0,22,1,111.055,5.014
механизм,17,2920,35,34,1,1,107.238,3.516
неинфекционный,18,350,18,1,17,1,105.859,5.617
терроризм,19,660,21,0,21,1,103.448,4.925
вызов,20,1890,28,0,28,1,96.777,3.822
консолидация,21,1390,23,23,0,1,84.267,3.981
опустынивание,22,120,11,0,11,1,77.664,6.451
covidи,23,380,14,3,11,1,73.002,5.136
воз,24,3470,29,18,11,1,70.002,2.996
сообщество,26,4260,31,31,0,1,67.371,2.796
контактный,27,220,11,11,0,1,64.057,5.577
экстремизм,28,250,11,0,11,1,61.239,5.392
незаконный,29,360,12,0,12,1,60.196,4.992
профилактика,30,3290,25,24,1,1,56.182,2.859
эпидемия,31,260,10,0,10,1,52.991,5.198
табакокурение,32,120,7,0,7,1,42.936,5.799
солидарный,33,210,8,8,0,1,42.239,5.184
президент,34,40410,8,2,6,1,42.226,-2.404
мера,35,10240,38,35,3,1,41.768,1.825
год,36,40610,9,4,5,1,39.334,-2.241
туберкулёз,37,90,6,0,6,1,38.429,5.992
нелегальный,38,100,6,0,6,1,37.144,5.84
современность,39,1090,12,0,12,1,34.864,3.394
всемирный,40,4570,22,15,7,1,32.787,2.2
тип,41,960,11,0,11,1,32.76,3.451
солидарность,42,840,10,9,1,1,30.481,3.506
неприсоединение,43,850,10,10,0,1,30.264,3.489
консолидированный,44,330,7,6,1,1,28.946,4.34
экономический,45,19350,2,2,0,1,27.349,-3.341
климат,46,1860,13,3,10,1,27.327,2.738
составляющую,48,50,4,4,0,1,27.112,6.255
спид,48,50,4,0,4,1,27.112,6.255
многосторонний,50,3750,18,17,1,1,26.737,2.196
covidновый,51,240,6,0,6,1,26.715,4.577
объединение,52,2250,14,14,0,1,26.681,2.57
центр,53,9010,29,6,23,1,26.083,1.619
глобальный,53,9010,29,13,16,1,26.083,1.619
оборот,55,600,8,0,8,1,26.057,3.67
гурбангулы,56,23050,4,1,3,1,25.994,-2.594
вирусный,57,440,7,1,6,1,25.112,3.925
ними,58,640,8,0,8,1,25.101,3.577
наркотический,59,170,5,0,5,1,23.847,4.811
преодоление,60,1220,10,1,9,1,23.775,2.968
последствие,61,2190,13,0,13,1,23.757,2.502
выработка,62,1540,11,10,1,1,23.529,2.769
совместный,63,8230,26,26,0,1,22.725,1.592
развитие,64,33250,11,8,3,1,22.415,-1.663
деградация,65,90,4,0,4,1,22.345,5.407
наркотрафиком,66,30,3,0,3,1,21.72,6.577
браконьерство,66,30,3,0,3,1,21.72,6.577
бердымухамедов,68,18210,3,2,1,1,21.11,-2.669
группа,69,2500,13,13,0,1,20.954,2.311
малярия,70,110,4,0,4,1,20.748,5.117
наш,71,30460,10,7,3,1,20.706,-1.674
преступность,72,410,6,0,6,1,20.582,3.804
общий,73,4710,18,11,7,1,20.522,1.867
covidявляться,74,40,3,0,3,1,19.936,6.162
действие,75,2690,13,13,0,1,19.442,2.206
охватить,76,280,5,0,5,1,19.029,4.091
движение,77,2350,12,12,0,1,18.992,2.285
скоординированные,78,140,4,4,0,1,18.85,4.769
консолидировать,79,300,5,5,0,1,18.375,3.992
элемент,80,500,6,6,0,1,18.373,3.518
методика,81,530,6,4,2,1,17.733,3.434
изменение,82,2530,12,2,10,1,17.593,2.179
проявиться,83,60,3,3,0,1,17.466,5.577
здравоохранение,84,9320,25,22,3,1,16.599,1.356
минимизация,85,590,6,0,6,1,16.565,3.279
