Collocate,Rank,Freq(Scaled),FreqLR,FreqL,FreqR,Range,Likelihood,Effect
covid,2,19330,180,3,177,1,391.586,2.779
распространение,3,4150,94,0,94,1,355.855,4.061
болезнь,4,1690,64,0,64,1,305.696,4.803
пандемия,5,10380,119,3,116,1,301.224,3.079
чрезвычайный,6,1500,57,56,1,1,272.575,4.808
комиссия,7,2240,57,57,0,1,228.118,4.229
усилие,8,3530,63,63,0,1,209.843,3.717
инфекция,9,4600,59,1,58,1,160.679,3.241
заболевание,10,5060,47,6,41,1,101.173,2.775
угроза,12,1520,28,0,28,1,94.762,3.763
опасный,13,1300,24,2,22,1,81.308,3.766
covidи,14,590,16,5,11,1,65.881,4.321
консолидация,15,690,16,16,0,1,61.078,4.095
пневмония,16,360,13,0,13,1,60.764,4.734
незаконный,17,280,12,0,12,1,60.139,4.981
механизм,18,1200,19,19,0,1,58.93,3.545
терроризм,19,310,12,0,12,1,57.727,4.834
неинфекционный,21,240,11,2,9,1,56.592,5.078
инфекционный,22,2830,26,1,25,1,55.404,2.759
контактный,23,220,9,9,0,1,44.272,4.914
сообщество,24,1870,19,19,0,1,43.777,2.905
методический,25,330,9,0,9,1,37.146,4.329
опыт,26,3020,21,20,1,1,34.976,2.357
тип,27,750,11,0,11,1,32.556,3.434
опустынивание,28,60,5,0,5,1,31.759,5.941
оборот,29,470,9,0,9,1,31.086,3.819
эпидемия,30,370,8,0,8,1,29.464,3.994
объединение,31,1100,12,12,0,1,29.133,3.007
последствие,32,1340,13,0,13,1,28.898,2.838
covidновый,33,270,7,0,7,1,28.206,4.256
вызов,34,950,11,0,11,1,27.864,3.093
год,35,30790,13,8,5,1,27.386,-1.684
экстремизм,37,190,6,0,6,1,26.465,4.541
неприсоединение,38,470,8,8,0,1,25.87,3.649
обсудить,39,2480,16,9,7,1,24.717,2.249
климат,40,690,9,4,5,1,24.715,3.265
минимизация,41,370,7,0,7,1,24.017,3.801
наркотический,42,140,5,0,5,1,23.255,4.718
заседание,43,5180,23,20,3,1,22.688,1.71
движение,44,1070,10,10,0,1,21.581,2.784
общий,45,2230,14,8,6,1,21.021,2.21
глобальный,46,4150,19,6,13,1,19.552,1.755
преодоление,47,730,8,0,8,1,19.481,3.014
профилактика,48,2430,14,13,1,1,19.151,2.086
бердымухамедов,49,9450,1,1,0,1,18.584,-3.681
грызунами,50,40,3,0,3,1,18.407,5.789
табакокурение,50,40,3,0,3,1,18.407,5.789
нелегальный,50,40,3,0,3,1,18.407,5.789
президент,54,18420,7,1,6,1,18.248,-1.836
совместный,55,4030,18,17,1,1,17.896,1.719
преступность,56,260,5,0,5,1,17.307,3.825
взаимосогласованный,57,50,3,2,1,1,17.048,5.467
солодка,58,270,5,5,0,1,16.953,3.771
консолидировать,59,140,4,4,0,1,16.865,4.396
голод,59,140,4,0,4,1,16.865,4.396
особо,61,1150,9,1,8,1,16.721,2.528
наркотик,62,280,5,1,4,1,16.613,3.718
ним,62,280,5,0,5,1,16.613,3.718
