Collocate,Rank,Freq(Scaled),FreqLR,FreqL,FreqR,Range,Likelihood,Effect
заражение,1,1040,79,2,77,1,495.435,5.858
covid,2,12550,91,9,82,1,165.763,2.468
зарегистрировать,4,500,19,18,1,1,92.137,4.858
один,5,2160,30,28,2,1,88.058,3.406
страна,6,11170,60,32,28,1,79.887,2.036
зафиксировать,7,250,13,10,3,1,71.105,5.311
подтвердить,9,370,12,12,0,1,54.42,4.63
заболевание,10,1650,20,2,18,1,53.681,3.21
наличие,11,1110,16,16,0,1,47.953,3.46
отрицать,12,420,11,11,0,1,45.318,4.321
летие,13,270,9,0,9,1,41.284,4.669
независимость,14,360,9,1,8,1,36.264,4.254
выявить,15,270,8,5,3,1,34.856,4.499
инфицирование,16,50,5,0,5,1,33.999,6.254
выявление,17,170,6,2,4,1,28.185,4.752
официально,18,200,6,6,0,1,26.281,4.517
ncov,19,60,4,0,4,1,23.865,5.669
торжество,20,150,5,5,0,1,22.926,4.669
признать,21,320,6,6,0,1,20.886,3.839
возникновение,22,220,5,0,5,1,19.225,4.117
даже,23,430,6,5,1,1,17.599,3.413
поздравление,24,50,3,3,0,1,17.257,5.517
территория,25,1170,9,3,6,1,17.005,2.554
лицо,26,500,6,4,2,1,15.96,3.195
утверждать,27,170,4,4,0,1,15.643,4.167
